CompanyName,Website,ContactPersonName,ContactPersonTitle,EmailAddress,SourceURL,Notes
Tailoress Atelier,https://www.tailoressbk.com/,"(Unknown)","Tailor/Alterations/Bespoke",info@tailoressbk.com,https://www.tailoressbk.com/,"Brooklyn, NY based. Offers alterations, bespoke, on-set tailoring. Clear email contact. Good fit."
Alteration Specialists,https://www.alterationspecialists.com/,"(Unknown)","Tailor/Alterations (Multiple Locations)",info@alterationspecialists.com,https://www.alterationspecialists.com/,"NYC/Brooklyn based. Multiple locations, high-end focus, bridal, at-home service. Clear general & partnership emails. Good fit."
Alterations.com,https://www.alterations.com/,"(Unknown)","Tailor/Alterations",support@alterations.com,https://www.alterations.com/,"NYC (Midtown) based. Focus on men/women alterations. Clear support email. Good fit."
Dani New York,https://danialterations.com/,"(Unknown)","Tailor/Alterations/Custom Atelier",info@daninewyork.com,https://danialterations.com/,"NYC (Garment District) based. Alterations & custom work, caters to fashion houses/stylists. Clear info email. Good fit."
WAZIN Custom Tailor & Alterations,https://wazins.com/,"(Unknown)","Tailor/Alterations/Custom Suits",info@wazins.com,https://wazins.com/,"NYC (Midtown) based. Alterations & custom suits/shirts. Clear info email. Good fit."
Toronto Bike Repair,https://www.torontobikerepair.com/, (Unknown),"Bicycle Repair Shop",info@torontobikerepair.com,https://www.torontobikerepair.com/contact-us,"Toronto, ON based bike repair shop. Clear email contact. Good fit."
Toronto Mobile Bicycle Repair Co-op,https://torontobikecoop.com/, (Unknown),"Mobile Bicycle Repair Co-op",info@torontobikecoop.com,https://torontobikecoop.com/,"Toronto, ON based mobile bike repair co-op. Clear email contact. Good fit."
Biseagal Bike Shop,https://www.biseagal.com/, (Unknown),"Bicycle Repair Shop",biseagal.info@gmail.com,https://www.biseagal.com/,"Toronto, ON based bike repair shop. Clear email contact. Good fit."
Permanent Records,https://www.permanentrecordsla.com/,(Unknown),"Record Store / Bar / Venue",permanentrecordsla@gmail.com,https://www.permanentrecordsla.com/contact.html,"Los Angeles, CA based record store/venue. Buys used records. Clear email contact. Good fit."
Gimme Gimme Records,https://www.gimmegimmerecords.com/,(Unknown),"Record Store",gimmerecords@gmail.com,https://www.gimmegimmerecords.com/,"Los Angeles, CA (Highland Park) based record store. Buys/sells used records. Clear email contact. Good fit."
Marcoz Antiques,https://www.marcozantiques.com,Marc Glasberg?,"Antique Store Owner?",(617) 262-0780,https://www.bostondesignguide.com/directory/stub/marcoz-antiques,"Founded 1972. Website defunct. Location uncertain (Boston, MA / West Palm Beach, FL). Contact via Boston phone number found on Yelp/BDG. LinkedIn profile exists."
Mindful Presenter,https://mindfulpresenter.com/,(Unknown),"Presentation Skills Training Provider",hello@mindfulpresenter.com,https://mindfulpresenter.com/,"London-based provider of presentation skills courses (in-house, public, virtual) and coaching. Focuses on tailored, 'mindful' approach. Clear email contact."
